0,1,kmeans_label,agglo_label,ensemble_label
0.560692,0.82802445,1,1,1.0
0.4091279,0.91247714,1,1,1.0
0.37515944,0.9269603,1,1,1.0
0.3610263,0.9325556,1,1,1.0
0.97928613,0.20248158,0,0,0.0
-0.054724142,0.9985015,1,1,1.0
0.093142286,0.9956528,1,1,1.0
0.94119775,0.3378562,0,0,0.0
-0.46116054,-0.88731676,0,0,0.0
-0.9999794,0.006415273,1,1,1.0
0.9858963,-0.16735783,0,0,0.0
-0.7344341,-0.67868006,0,1,2.0
0.018811116,0.999823,1,1,1.0
0.7142845,0.6998554,1,0,2.0
0.9973648,-0.07255021,0,0,0.0
0.98325664,-0.18222621,0,0,0.0
0.9892513,-0.1462255,0,0,0.0
0.98250216,0.18625122,0,0,0.0
-0.44412792,-0.8959634,0,0,0.0
-0.46343872,-0.88612896,0,0,0.0
0.13420376,0.9909537,1,1,1.0
0.14310479,0.9897076,1,1,1.0
0.4309353,0.9023828,1,1,1.0
0.4535737,0.8912188,1,1,1.0
0.73640096,0.6765453,1,0,2.0
0.74098074,0.67152625,1,0,2.0
0.8239908,0.5666032,1,0,2.0
0.61892116,0.78545314,1,1,1.0
0.7287683,0.6847604,1,0,2.0
0.6003781,-0.79971635,0,0,0.0
0.65843064,0.7526414,1,1,1.0
-0.6165404,0.7873233,1,1,1.0
0.9715468,-0.23684749,0,0,0.0
0.9973094,-0.07330705,0,0,0.0
0.90038204,-0.4351002,0,0,0.0
0.5473914,0.83687675,1,1,1.0
0.84555805,0.53388345,1,0,2.0
0.88946974,0.456994,1,0,2.0
0.9031154,0.4293978,1,0,2.0
0.96505487,0.2620478,0,0,0.0
0.93878514,-0.34450313,0,0,0.0
0.37477246,-0.9271168,0,0,0.0
0.9376454,-0.3475935,0,0,0.0
-0.52718854,0.8497483,1,1,1.0
0.61038715,0.79210323,1,1,1.0
0.5692811,0.8221429,1,1,1.0
0.79421,0.6076434,1,0,2.0
0.55522496,-0.83170027,0,0,0.0
0.37203646,-0.9282181,0,0,0.0
0.38384444,-0.9233978,0,0,0.0
-0.44612363,0.8949713,1,1,1.0
-0.6011674,0.7991231,1,1,1.0
0.99937207,0.035433047,0,0,0.0
0.93608135,-0.35178354,0,0,0.0
0.98963416,-0.14361157,0,0,0.0
-0.31591305,0.94878817,1,1,1.0
0.936341,-0.35109177,0,0,0.0
-0.6025109,0.79811054,1,1,1.0
0.9271643,-0.37465504,0,0,0.0
0.5921521,-0.8058262,0,0,0.0
0.49157053,-0.87083775,0,0,0.0
0.54729414,0.83694035,1,1,1.0
0.5831179,-0.8123875,0,0,0.0
0.6441087,-0.764934,0,0,0.0
0.99347275,-0.114070006,0,0,0.0
0.9329926,-0.35989577,0,0,0.0
0.98183924,0.18971474,0,0,0.0
0.8436956,0.5368218,1,0,2.0
0.38086027,-0.9246326,0,0,0.0
0.37102598,-0.9286225,0,0,0.0
0.5474747,-0.8368223,0,0,0.0
0.9780443,0.20839688,0,0,0.0
0.9980825,-0.06189601,0,0,0.0
-0.39558655,0.9184287,1,1,1.0
0.87249947,0.48861492,1,0,2.0
-0.16886637,-0.985639,0,0,0.0
0.9994422,-0.0333939,0,0,0.0
0.9736917,-0.22786957,0,0,0.0
0.9419727,0.33568972,0,0,0.0
0.13407014,0.99097186,1,1,1.0
0.87977964,0.47538176,1,0,2.0
0.9959354,-0.09007108,0,0,0.0
0.74059004,0.67195714,1,0,2.0
0.6309809,-0.7757984,0,0,0.0
0.05604607,-0.9984282,0,0,0.0
0.16268176,0.9866786,1,1,1.0
-0.3785778,0.9255695,1,1,1.0
0.99597985,-0.08957777,0,0,0.0
0.40461862,0.9144855,1,1,1.0
0.88960844,-0.45672405,0,0,0.0
-0.10966942,0.99396807,1,1,1.0
0.90943706,0.41584173,1,0,2.0
0.9598836,0.28039896,0,0,0.0
0.84280694,0.53821605,1,0,2.0
0.7134002,0.70075685,1,0,2.0
0.7228169,0.6910396,1,0,2.0
0.82806796,0.56062764,1,0,2.0
0.9706149,-0.240638,0,0,0.0
0.97132367,0.23776105,0,0,0.0
0.9987697,-0.04958809,0,0,0.0
0.40302643,0.9151883,1,1,1.0
0.72694826,0.68669224,1,0,2.0
0.9892552,0.14619881,0,0,0.0
0.96159023,-0.27448896,0,0,0.0
-0.6707958,-0.74164206,0,0,0.0
0.9997357,-0.022989655,0,0,0.0
0.9986067,0.05276973,0,0,0.0
0.96357876,-0.26742464,0,0,0.0
0.9913399,0.13132057,0,0,0.0
0.8120507,0.5835869,1,0,2.0
0.6482696,0.7614109,1,1,1.0
0.9349835,0.3546913,0,0,0.0
-0.22831258,0.97358793,1,1,1.0
0.9351562,-0.3542356,0,0,0.0
-0.44554207,-0.895261,0,0,0.0
0.82919556,0.5589586,1,0,2.0
0.8570361,0.51525646,1,0,2.0
0.7289202,0.6845987,1,0,2.0
-0.9999794,0.0064177043,1,1,1.0
0.6506622,-0.75936735,0,0,0.0
0.8766646,0.48110214,1,0,2.0
0.6477273,-0.76187223,0,0,0.0
0.8866179,0.46250275,1,0,2.0
0.074126095,-0.99724895,0,0,0.0
0.5549847,0.83186054,1,1,1.0
-0.2281504,0.97362584,1,1,1.0
0.73589766,0.67709273,1,0,2.0
0.746744,-0.66511166,0,0,0.0
0.9596317,0.2812598,0,0,0.0
0.9005398,-0.43477362,0,0,0.0
0.9277798,-0.37312806,0,0,0.0
