0,1,kmeans_label,agglo_label
-0.3055278,-1.7539492,1,1
-0.058804225,-0.57926583,1,0
0.32134715,-1.33296,1,1
0.32003704,-1.3296161,1,1
-0.0646456,-0.58293116,1,0
-0.31131333,-1.7645748,1,1
-0.070778586,-0.6028425,1,0
0.30495822,-1.3402182,1,1
0.2777341,-1.3604788,1,1
-0.09666198,-0.5826603,1,0
0.26536873,-1.3646199,1,1
-0.08463732,-0.6070273,1,0
0.2879507,-1.3523686,1,1
-0.30444548,-0.25524756,1,0
1.0441014,-0.1766243,1,1
0.6886215,-0.9107733,1,1
0.45048463,-0.6799214,1,1
0.6274885,-1.0101486,1,1
0.2558429,-0.6251454,1,1
0.0320529,0.8511644,0,0
-0.07008069,-0.6238109,1,0
-0.0697712,-0.6593125,1,1
-0.07678276,-0.64369386,1,0
-0.06451342,-0.5977966,1,0
-0.06916195,-0.6645738,1,1
-0.3129421,-1.7660558,1,1
-0.31590402,-1.7659721,1,1
-0.07241231,-0.60243976,1,0
-0.3145947,-1.7646048,1,1
-0.316197,-1.7673424,1,1
-0.32119918,-1.7768496,1,1
-0.3117192,-1.7636256,1,1
-0.0752192,-0.60282665,1,0
-0.32598564,-1.786524,1,1
-0.32472384,-1.782585,1,1
-0.32102942,-1.7800922,1,1
-0.32486477,-1.7850425,1,1
-0.32555968,-1.7845196,1,1
-0.32658574,-1.7865065,1,1
-0.3248582,-1.7840227,1,1
-0.32564515,-1.7871656,1,1
-0.3252005,-1.7833091,1,1
-0.07582566,-0.6120142,1,0
-0.32550204,-1.7865548,1,1
-0.07459246,-0.6111977,1,0
-0.32537183,-1.7869725,1,1
-0.31959805,-1.7810092,1,1
-0.076435104,-0.6063434,1,0
-0.3292694,-1.7909436,1,1
-0.32164362,-1.7851316,1,1
-0.31392044,-1.7774009,1,1
-0.3231881,-1.7855343,1,1
-0.32228565,-1.7849057,1,1
-0.31162202,-1.7735283,1,1
-0.31971473,-1.7829554,1,1
-0.3208694,-1.783705,1,1
-0.3111241,-1.7758244,1,1
-0.31769955,-1.7806362,1,1
-0.32315928,-1.7866606,1,1
-0.31745803,-1.7810036,1,1
-0.31975466,-1.7820165,1,1
-0.31395105,-1.7758747,1,1
-0.30516446,-1.7678454,1,1
-0.3094204,-1.770308,1,1
-0.30740047,-1.7694013,1,1
-0.30362812,-1.7645983,1,1
-0.3020878,-1.7637014,1,1
-0.30084568,-1.7626904,1,1
-0.30515173,-1.7657202,1,1
-0.29889372,-1.7600613,1,1
-0.295082,-1.7542161,1,1
-0.29746333,-1.7601264,1,1
-0.29560697,-1.755353,1,1
-0.29854348,-1.7612629,1,1
-0.29496613,-1.751063,1,1
0.43447635,-1.0873498,1,1
0.24381784,-0.33850607,1,1
-0.79912364,-0.36449072,0,0
0.18467733,-0.31167385,1,1
-0.056666408,-0.5348641,1,0
0.23094721,-0.12781449,1,1
-0.33315444,-1.7948556,1,1
-0.32944232,-1.7916975,1,1
-0.31922594,-1.7815684,1,1
-0.3380421,-1.7991961,1,1
-0.33248278,-1.7937286,1,1
-0.3294624,-1.7917958,1,1
-0.33873144,-1.7976676,1,1
-0.33371082,-1.7955078,1,1
-0.32428196,-1.7865683,1,1
-0.32583082,-1.787652,1,1
-0.33128616,-1.7929016,1,1
-0.33539802,-1.7967963,1,1
-0.33271953,-1.7936018,1,1
-0.33230388,-1.7926295,1,1
-0.32692146,-1.7887115,1,1
-0.33326098,-1.7954279,1,1
-0.33422583,-1.7962356,1,1
-0.3361446,-1.7976449,1,1
-0.3357059,-1.7970523,1,1
-0.3334329,-1.7960798,1,1
-0.3351384,-1.7972753,1,1
-0.33319062,-1.7937323,1,1
-0.32629633,-1.7886924,1,1
-0.32658377,-1.7889619,1,1
-0.32553524,-1.7883464,1,1
-0.32625479,-1.7887228,1,1
-0.33367503,-1.7951207,1,1
-0.32326204,-1.7863518,1,1
-0.32598227,-1.7883022,1,1
-0.32630628,-1.7887899,1,1
-0.33476868,-1.7961926,1,1
-0.32699126,-1.7896385,1,1
-0.3355636,-1.7961234,1,1
-0.3319642,-1.7946724,1,1
-0.32775235,-1.7909807,1,1
-0.3154331,-1.7895674,1,1
-0.3239498,-1.7877501,1,1
-0.33135653,-1.7936492,1,1
-0.32398438,-1.7866392,1,1
